GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Drosophila hydei,NA,NA,カスリショウジョウバエ,Sanit,Diptera,ハエ亜目,Drosophilidae,NA,NA,Detritivore,Cosmopolitan,"Yamanaka, 2015"
Drosophila immigrans,NA,NA,オオショウジョウバエ,Sanit,Diptera,ハエ亜目,Drosophilidae,NA,NA,Detritivore,Pantropic,"Yamanaka, 2015"
Drosophila suzukii,(Matsumura),cherry drosophila: Spotted wing drosophila,オウトウショウジョウバエ,Outdoor,Diptera,ハエ亜目,Drosophilidae,NA,NA,Leaf: Fruits,Palearctic(Asia),"Yamanaka, 2015"
Megaselia scalaris,NA,NA,クサビノミバエ,Sanit,Diptera,ハエ亜目,Phoridae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Liriomyza sativae,Blanchard,vegetable leafminer :  legume leafminer,トマトハモグリバエ,Outdoor: Greenhouse,Diptera,NA,Agromyzidae,1999,NA,Leaf,Nearctic Neotropic,"Yamanaka, 2015"
Liriomyza trifolii,(Burgess),Celery leafminer :  legume leafminer,マメハモグリバエ,Outdoor: Greenhouse,Diptera,NA,Agromyzidae,1993,NA,Leaf,Palearctic(Asia) Nearctic,"Yamanaka, 2015"
Hemipyrellia ligurriens,(Matsumura),NA,トウキョウキンバエ,Sanit,Diptera,NA,Calliphoridae,1950,NA,Animal,Indomalaya,"Yamanaka, 2015"
Lucilia sericata,(Meigen),Greenbottle fly,ヒロズキンバエ,Sanit,Diptera,NA,Calliphoridae,NA,NA,Animal,Palearctic(Europe) Afrotropic,"Yamanaka, 2015"
Contarinia maculipennis,Felt,Hibiscus midge :  blossom midge,ランツボミタマバエ,Greenhouse,Diptera,NA,Cecidomyiidae,1989,NA,Leaf (ラン),Indomalaya Nearctic,"Yamanaka, 2015"
Erosomyia sp,NA,NA,Erosomyia sp,Greenhouse,Diptera,NA,Cecidomyiidae,2000,NA,Leaf(シロバナセンダングサ、サツマイモ花),NA,"Yamanaka, 2015"
Procontarinia mangicola,(Shi),syn (Erosomyia sp.),マンゴーハフクレタマバエ,Outdoor: Greenhouse,Diptera,NA,Cecidomyiidae,2000,NA,Leaf (マンゴー),Indomalaya Oceania,"Yamanaka, 2015"
Chironomus tainanus,NA,NA,ミナミユスリカ,Sanit,Diptera,NA,Chironomidae,1978,NA,Detritivore,Indomalaya,"Yamanaka, 2015"
Aedes aegypti,(Linnaeus),yellow fever mosquito,ネッタイシマカ,Sanit,Diptera,NA,Culicidae,1944,NA,Animal,Afrotropic,"Yamanaka, 2015"
Drosophila melanogaster,Meigen,common fruit fly,キイロショウジョウバエ,Sanit,Diptera,NA,Drosophilidae,NA,NA,Leaf: Fruits (発酵した果実・樹液),Cosmopolitan,"Yamanaka, 2015"
Drosophila simulans,Sturtevant,NA,オナジショウジョウバエ,Sanit,Diptera,NA,Drosophilidae,1972,NA,Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Musca domestica,Linnaeus,House fly :  house fly,イエバエ,Sanit,Diptera,NA,Muscidae,NA,NA,Animal: DryA: Detritivore,Palearctic(Asia) Afrotropic,"Yamanaka, 2015"
Diploneura cornuta,(Bigot),NA,コシアキノミバエ,Sanit,Diptera,NA,Phoridae,NA,NA,Animal: DryA: Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Clogmia albipunctata,(Williston),bathroom fly,オオケチョウバエ,Sanit,Diptera,NA,Psychodidae,NA,NA,Detritivore,Pantropic,"Yamanaka, 2015"
Tinearia alternata,Say,NA,ホシチョウバエ,Sanit,Diptera,NA,Psychodidae,NA,NA,Detritivore,Palearctic(Asia),"Yamanaka, 2015"
Hermetia illucens,(Linnaeus),Soldier fly,アメリカミズアブ,Sanit,Diptera,NA,Stratiomyidae,1951,NA,Fruits: Animal: DryA: Detritivore,Palearctic(Asia) Neotropic Nearctic,"Yamanaka, 2015"
Bactrocera cucurbitae,(Coquillett),melon fly,ウリミバエ,Outdoor,Diptera,NA,Tephritidae,1919,NA,Fruits,Indomalaya,"Yamanaka, 2015"
