GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Sitona lineellus,NA,NA,Outdoor,ベッチチビコフキゾウムシ,Coleoptera,NA,Curculionidae,1970,NA,Leaf(マメ科牧草),Palearctic(Europe)  Afrotropic,"Yamanaka, 2015"
Sitona tessellatus,NA,syn (Sitona tessellates),Outdoor,アカツメクサチビコフキゾウムシ,Coleoptera,NA,Curculionidae,1994,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Stenopelmus rufinasus,Gyllenhal,NA,Not pest,アカウキクサゾウムシ,Coleoptera,NA,Curculionidae,1987,NA,Leaf,Nearctic,"Yamanaka, 2015"
Trachycyrtus spp,(Linnaeus),NA,Greenhouse,アカアシカタゾウムシ属の一種　新種,Coleoptera,NA,Curculionidae,2010,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Tychius picirostris,Lindeman,NA,Outdoor,ツメクサタネコバンゾウムシ,Coleoptera,NA,Curculionidae,1993,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Euscepes　postfasciatus,(Fairmaire),NA,Outdoor,イモゾウムシ,Coleoptera,NA,Curculionoidea,1997,NA,NA,Neotropic,"Yamanaka, 2015"
Orchidophilus aterrimus,NA,NA,Greenhouse,オオランヒメゾウムシ,Coleoptera,NA,Curculionoidea,1966,NA,Leaf (ラン),Indomalaya,"Yamanaka, 2015"
Orchidophilus ran,NA,NA,Greenhouse,ランヒメゾウムシ,Coleoptera,NA,Curculionoidea,1981,NA,Leaf (ラン),Indomalaya,"Yamanaka, 2015"
Anthrenus nipponensis,NA,NA,Stored,シロオビマルカツオブシムシ,Coleoptera,NA,Dermestidae,1929,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Attagenus fasciatus,NA,NA,Stored,オビヒメカツオブシムシ,Coleoptera,NA,Dermestidae,1989,NA,DryA,Cosmopolitan,"Yamanaka, 2015"
Attagenus pellio,(Linnaeus),NA,Stored,シラホシヒメカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Europe)  Palearctic(Asia)  Afrotropic,"Yamanaka, 2015"
Attagenus unicolor japonicus,NA,syn (Attagenus japonicus),Stored,ヒメカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Dermestes ater,DeGeer,black larder beetle:hide beetle,Stored,トビカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Dermestes frischii,Kugelann,NA,Stored,フイリカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Dermestes haemorrhoidalis,NA,NA,Stored,カドマルカツオブシムシ,Coleoptera,NA,Dermestidae,1945,NA,DryA,Palearctic(Europe),"Yamanaka, 2015"
Dermestes lardarius,(Linnaeus),NA,Stored,オビカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Cosmopolitan,"Yamanaka, 2015"
Dermestes maculatus,(De Geer),Hide beetle :  hide beetle:leather beetle:common hide beetle,Stored,ハラジロカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia)  Palearctic(Europe)  Indomalaya,"Yamanaka, 2015"
Dermestes vorax,NA,NA,Stored,アカオビカツオブシムシ,Coleoptera,NA,Dermestidae,1921,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Thylodrias contractus,NA,NA,Stored,マサカカツオブシムシ,Coleoptera,NA,Dermestidae,1954,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Trogoderma inclusum,LeConte,NA,Stored,ヒメマダラカツオブシムシ,Coleoptera,NA,Dermestidae,1967,NA,DryA,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Trogoderma sternale,NA,NA,Stored,アメリカマダラカツオブシムシ,Coleoptera,NA,Dermestidae,2008,NA,Seeds,Nearctic,"Yamanaka, 2015"
Trogoderma varium,(Fabricius),NA,Stored,アカマダラカツオブシムシ,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Holoparamecus depressus,Maskell,NA,Stored,ホソツヤヒメマキムシ,Coleoptera,NA,Endomychidae,NA,NA,Fungus,NA,"Yamanaka, 2015"
Holoparamecus ragusae,NA,syn(Holoparamecus regusae),Stored,ラグサスツヤヒメマキムシ,Coleoptera,NA,Endomychidae,NA,NA,Fungus,NA,"Yamanaka, 2015"
Carcinops pumilio,(Erichson),NA,Stored,クロチビエンマムシ,Coleoptera,NA,Histeridae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Placonotus testaceus,NA,NA,Stored,カドムネチビヒラタムシ,Coleoptera,NA,Laemophloeidae,NA,NA,Seeds,Nearctic,"Yamanaka, 2015"
Pyropyga sp.,NA,syn (Pyropyga sp),Not pest (Predator),ノハラボタル,Coleoptera,NA,Lampyridae,1982,NA,Animal,Nearctic  Neotropic,"Yamanaka, 2015"
Cartodere australica,(Thunberg),NA,Stored,スジダカヒメマキムシ,Coleoptera,NA,Lathridiidae,1983,NA,Fungus,Australasia,"Yamanaka, 2015"
Cartodere constricta,(Okajima),NA,Stored,クビレヒメマキムシ,Coleoptera,NA,Lathridiidae,1885,NA,Fungus,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Cartodere elongata,NA,NA,Stored,キイロヒメマキムシ,Coleoptera,NA,Lathridiidae,1979,NA,Fungus,Nearctic  Palearctic(Asia),"Yamanaka, 2015"
Cartodere nodifer,NA,syn (Aridius nodifer),Stored,コブヒメマキムシ,Coleoptera,NA,Lathridiidae,1979,NA,Fungus,NA,"Yamanaka, 2015"
