ORDER,FAMILY,GENUS SPECIES,YEAR,origin,STATUS,REFERENCE,Intentional_Release,source,established_indoors_or_outdoors
Hemiptera,Diaspidae,Aonidiella citrina,"NA","Ori, Eth, Net [Oriental]",P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hemiptera,Diaspidae,Chrysomphalus aonidium,"NA","Ori, Eth, Net [Oriental]",P* (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Chrysomphalus dictyospermi,"NA",Cos [Oriental],P (indoor),Cross-check Paek et al. (2010) and Kiritani (2002),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Diaspis boisduvalii,"NA","Ori, Eth, Net [Neotropical]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Diaspis bromeliae,"NA","Ori, Eth, Net [Mexico]",P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Diaspis echinocacti,"NA",Cos [Neotropical],P (indoor),Lee (1996; Appendix I),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Lepidosaphes laterochitinosa,2010,Ori,P*â€  (indoor; disappeared),NPQS (2010b),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Lepidosaphes ulmi,"NA","Pal, Ori, Aus, Nea, Net [Palaearctic]",P,Lee (1996; Appendix I),"NA","Hong, 2012",Out
Hemiptera,Diaspidae,Parlatoria proteus,1920s,"Ori, Eth, Net [Oriental]",P (indoor),Lee (1996; Appendix I); Anonymous (1928),"NA","Hong, 2012",In
Hemiptera,Diaspidae,Unaspis yanonensis,1930s,"Pal, Ori [China]",P,Lee (1996; Appendix I); NPQS (2010b),"NA","Hong, 2012",Out
Coleoptera,Histeridae,Carcinops pumilio,"NA",Cos,P*,Cross-check Ohara and Paik (1998) and Kiritani (2002),"NA","Hong, 2012",Out
Coleoptera,Scarabaeidae,Oryctes rhinoceros,"NA",Ori,Pâ€  (disappeared),Lee (1996; Appendix I),"NA","Hong, 2012",Out
Coleoptera,Scarabaeidae,Protaetia orientalis,"NA",Ori,P,Cross-check Kim (2001) and Kiritani (2002),"NA","Hong, 2012",Out
Coleoptera,Dermestidae,Attagenus japonicus,"NA",Cos,P,Cross-check Kim et al. (1999) and Kiritani (2002),"NA","Hong, 2012",Out
Coleoptera,Dermestidae,Dermestes ater,"NA",Cos,P,Cross-check Kim et al. (1999) and Kiritani (2002),"NA","Hong, 2012",Out
